	path	text
0	0.wav	ay and show you some pretty tricks
1	1.wav	taking advantage of this the squire's few men redoubled their efforts and encouraged by robin's and the little stroller's cries fought their way to him
2	2.wav	but i wrestled with this fellow and do know that he played unfairly in the second bout
3	3.wav	will you forgive me now
4	4.wav	it is enough said george gamewell sharply and he turned upon the crowd
5	5.wav	and mine is will stuteley shall we be comrades
6	6.wav	he was like unto my father in a way and yet was not my father
7	7.wav	mistress fitzooth had been carried off by the sheriff's daughter and her maids as soon as they had entered the house so that robin alone had the care of montfichet
8	8.wav	nay we refused their request most politely most noble said the little stroller
9	9.wav	friends said montfichet faintly to the wrestlers bear us escort so far as the sheriff's house
10	10.wav	a golden fortune and a happy life
11	11.wav	so i did push this fellow
12	12.wav	tis fine for you to talk old man answered the lean sullen apprentice
13	13.wav	the squire helped to thrust them all in and entered swiftly himself
14	14.wav	but who is this fellow plucking at your sleeve
16	16.wav	before them fled the stroller and his three sons capless and terrified
17	17.wav	thrusting open the proper entrance of the tent robin suddenly rushed forth with his burden with a great shout
18	18.wav	come to me men here here he raised his voice still louder
19	19.wav	like as not young master though i am an old man
20	20.wav	and henry might return to england at any moment
21	21.wav	have your will child if the boy also wills it montfichet answered feeling too ill to oppose anything very strongly just then
22	22.wav	take your place and let us see what the crystal can show to you
23	23.wav	spoke the squire losing all patience and it was to you that i gave another purse in consolation
24	24.wav	he felt for and found the wizard's black cloth the squire was quite out of breath
25	25.wav	cries of a nottingham a nottingham
26	26.wav	pray follow us with mine and my lord sheriff's men
27	27.wav	he is my esquire excellency returned robin with dignity
28	28.wav	also there was a stripling page who turned into a maid
29	29.wav	the head and chief of the riot the nottingham apprentice with clenched fists threatened montfichet
30	30.wav	he gave way to the others very readily and retreated unperceived by the squire and mistress fitzooth to the rear of the tent
31	31.wav	nottingham castle was reached and admittance was demanded
32	32.wav	he made an effort to hide his condition from them all and robin felt his fingers tighten upon his arm
33	33.wav	sister nell do you hear these marvels
34	34.wav	robin and the little tumbler between them tried to force the squire to stand back and very valiantly did these two comport themselves
35	35.wav	silence you knave cried montfichet
36	36.wav	now be silent on your lives he began but the captured apprentice set up an instant shout
37	37.wav	the strollers took their part in it with hearty zest now that they had some chance of beating off their foes
38	38.wav	but then the picture was gone as quickly as it came
39	39.wav	beg me a room of the sheriff child quickly
40	40.wav	master monceux the sheriff of nottingham was mightily put about when told of the rioting
41	41.wav	forthwith all ran to the opening of the tent to see what might be amiss but master will who peeped out first needed no more than one glance
42	42.wav	surely we can submit with good grace
43	43.wav	what is your name lording asked the little stroller presently
44	44.wav	no thanks i am glad to give you such easy happiness
45	45.wav	i could not see my boy injured excellence for but doing his duty as one of cumberland's sons
46	46.wav	right willingly for between us we have won the battle answered robin
47	47.wav	the wine did certainly bring back the color to the squire's cheeks
48	48.wav	give not so earnest a mind to these mummeries child
49	49.wav	he began a confused complaint against the wizard who had vanished behind the curtain on the left
50	50.wav	these escapades are not for old gamewell lad his day has come to twilight
51	51.wav	i like you will you are the second will that i have met and liked within two days is there a sign in that
52	52.wav	and then they became vexed and would have snatched your purse from us
53	53.wav	you are a worthy leech will presently whispered robin the wine has worked a marvel
54	54.wav	george montfichet will never forget this day
55	55.wav	shame on you citizens cried he i blush for my fellows of nottingham
56	56.wav	montfichet called out for robin to give him an arm
57	57.wav	what is the tumult and rioting cried out the squire authoritatively and he blew twice on a silver whistle which hung at his belt
58	58.wav	robin was glad when at length they were left to their own devices
59	59.wav	robin fitzooth
60	60.wav	it will be no disappointment to me
61	61.wav	a montfichet a montfichet gamewell to the rescue
62	62.wav	this was so sweet a lady sir and in some manner i do think she died
63	63.wav	it will not be safe for you to stay here now
